采购单号,SKU,货号,商品名称,仓库名称,采购数量,供应商名称,联系方式
2618361311,100235766451,,巴美卡豆包ai智能对话玩具DeepSeek聊天桌面小机器人工陪伴生日礼物,沈阳常温C中件消费品12号库-CHN,3,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
2618361311,100225966588,,巴美卡中号套装1大号实心恐龙收藏模型玩具仿真侏罗纪动物男孩节日礼物,沈阳常温C中件消费品12号库-CHN,12,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
2618361311,100301480878,,巴美卡控笔训练字帖幼儿园3-6岁入门儿童衔接册早教专注力玩具生日礼物,沈阳常温C中件消费品12号库-CHN,12,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
2618361311,100174423795,,巴美卡大号智能声动恐龙模型玩具仿真侏罗纪动物霸王龙苍龙三角龙腕龙,沈阳常温C中件消费品12号库-CHN,20,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
2618361311,100301481120,,巴美卡儿童象形识字卡3-6岁幼儿园宝宝早教认汉字卡片幼小衔接生日礼物,沈阳常温C中件消费品12号库-CHN,12,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
2618361311,100226220958,,巴美卡 腕龙大号实心恐龙收藏模型玩具仿真侏罗纪动物男女小孩生日礼物,沈阳常温C中件消费品12号库-CHN,30,深圳市奥酷文化传播有限公司,"13604004219,4006225686-02431"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
